ID,DOCTOR,CENTER,STREET,CITY,STATE,ZIP,PHONE,TREATMENT,Dataset,Classification
0,Marilyn Harter NP,NA,412 East Church Street ,Marshalltown,IA,50317,641-753-4021,Treatment options: Buprenorphine,MAT Locations,MAT Locations
1,Dr. Nicole Gastala M.D.,"Primary Health Care, Inc.",412 East Church Street ,Marshalltown,IA,50158,(641) 753-4021,Treatment options: Buprenorphine,MAT Locations,MAT Locations
2,Dr. Tim Swinton M.D.,"Primary Health Care, Inc.",412 East Church Street ,Marshalltown,IA,50158,(641) 753-4021,Treatment options: Buprenorphine,MAT Locations,MAT Locations
3,Dr. Mohammed Iqbal M.D.,Covenant Clinic,2750 St. Francis Drive ,Waterloo,IA,50702,(319) 272-8922,Treatment options: Buprenorphine,MAT Locations,MAT Locations
4,Timothy Doyle NP,NA,5100 Prairie Parkway ,Cedar Falls,IA,50613,319-277-1990,Treatment options: Buprenorphine,MAT Locations,MAT Locations
5,Dr. Ted Bonebrake M.D.,Arrowhead Medical Center,226 Bluebell Road ,Cedar Falls,IA,50613,(319)575-5800,Treatment options: Buprenorphine,MAT Locations,MAT Locations
6,NA,Cedar Valley Recovery Services,2603 Rainbow Drive ,Cedar Falls,IA,50613,(319) 277-5808,Treatment options: Methadone,MAT Locations,MAT Locations
7,Dr. Thomas Pattee D.O.,Covenant Clinic,516 South Division Street ,Cedar Falls,IA,50613,(319) 277-5808,Treatment options: Buprenorphine,MAT Locations,MAT Locations
8,Mr. Ali Safdar,Abbe Community Mental Health,520 11th St NW ,Cear Rapids,IA,52405,(319)398-3562,Treatment options: ,MAT Locations,MAT Locations
9,Barbara Lynn Williams NP,Abbe Community Mental Health,520 11th Street NW ,Cedar Rapids,IA,52405,(319)398-3562,Treatment options: ,MAT Locations,MAT Locations
10,Dr. Andrea Weber M.D.,St. Luke's Hospital,1026 A Avenue NE ,Cedar Rapids,IA,52402,(319)369-7211,Treatment options: ,MAT Locations,MAT Locations
11,Dr. Shaad Swim MD,NA,420 Mill Street SW ,Mitchellville,IA,50169,515-725-5042,Treatment options: Buprenorphine,MAT Locations,MAT Locations
12,Amy Wilson NP,NA,1201 3rd Avenue SE ,Cedar Rapids,IA,52403,319-730-7300,Treatment options: Buprenorphine,MAT Locations,MAT Locations
13,Dr. Arleen Zahn-Houser M.D.,Cedar Rapids Comprehensive Treatment Center,5005 Bowling Street SW ,Cedar Rapids,IA,52402,(319)531-3824,"Treatment options: Buprenorphine, Methadone",MAT Locations,MAT Locations
14,NA,Cedar Valley Recovery Services,151 Marion Blvd. ,Marion,IA,52302,(319) 363-2678,Treatment options: Methadone,MAT Locations,MAT Locations
15,Brian Vold NP,Achieve Mental Health,814 Railroad Street ,Iowa Falls,IA,50126,(641)648-4010,Treatment options: ,MAT Locations,MAT Locations
16,Dr. Martin Carpenter MD,NA,320 W Cherry Street ,North Liberty,IA,52317,319-626-3300,Treatment options: Buprenorphine,MAT Locations,MAT Locations
17,Kyle Parks PA,Iowa Medical & Classification Center (Oakdale Correctional),2700 Coral Ridge Avenue ,Coralville,IA,52241,(319)665-6730,Treatment options: Buprenorphine,MAT Locations,MAT Locations
18,Katherine Eaton NP,"Primary Health Care, Inc.",3510 Lincoln Way ,Ames,IA,50014,(515) 232-0628,Treatment options: Buprenorphine,MAT Locations,MAT Locations
19,Becky Johnson NP,"Primary Health Care, Inc.",3509 East 29th Street ,Des Moines,IA,50317,(515) 248-1600,Treatment options: Buprenorphine,MAT Locations,MAT Locations
20,Dr. Carissa Bauer M.D.,University of Iowa Hospitals and Clinics,200 Hawkins Drive ,Iowa City,IA,52246,(608) 263-6100,Treatment options: Buprenorphine,MAT Locations,MAT Locations
21,Dr. Vicki Kijewski M.D.,University of Iowa Hospitals and Clinics,200 Hawkins Drive ,Iowa City,IA,52242,(319) 353-8647,Treatment options: Buprenorphine,MAT Locations,MAT Locations
22,Dr. Alison Lynch M.D.,University of Iowa Hospitals and Clinics,200 Hawkins Drive ,Iowa City,IA,52242,(319)356-1616,Treatment options: Buprenorphine,MAT Locations,MAT Locations
23,Dr. Joshua Radke M.D.,University of Iowa Hospitals and Clinics,200 Hawkins Drive  ,Iowa City,IA,52242,(319)384-6562,Treatment options: Buprenorphine,MAT Locations,MAT Locations
24,Dr. Andrea Weber M.D.,University of Iowa Hospitals and Clinics,200 Hawkins Drive ,Iowa City,IA,52242,(319) 356-1616,Treatment options: Buprenorphine,MAT Locations,MAT Locations
25,Dr. Anthony Miller M.D.,VA Iowa City,601 Highway 6 West ,Iowa City,IA,52246,(319) 688-3334,Treatment options: Buprenorphine,MAT Locations,MAT Locations
26,Dr. Christopher Buresh MD,University of Iowa Hospitals and Clinics,200 Hawkins Drive ,Iowa City,IA,52242,319-356-2233,Treatment options: Buprenorphine,MAT Locations,MAT Locations
27,Dr. Hans House MD,Department of Emergency Medicine RCP 1008,200 Hawkins Drive ,Iowa City,IA,52240,319-384-6511,Treatment options: Buprenorphine,MAT Locations,MAT Locations
28,Dr. Nicholas Trapp MD,"Univ. of Iowa Carver College of Medicine, Dept. of Psychiatry",200 Hawkins Drive ,Iowa City,IA,52242,319-356-4658,Treatment options: Buprenorphine,MAT Locations,MAT Locations
29,Dr. Brian Cook M.D.,University of Iowa Hospitals and Clinics,Department of Psychiatry ,Iowa City,IA,52242,(319) 338-0581 x5400,Treatment options: Buprenorphine,MAT Locations,MAT Locations
30,Dr. Robert Wesner M.D.,Mercy Iowa City,103 East College Street ,Iowa City,IA,52240,(319) 351-8281,Treatment options: Buprenorphine,MAT Locations,MAT Locations
31,Dr. Laurie McCormick MD,Rein Center,421 E. Market Street ,Iowa City,IA,52245,319-400-1311,Treatment options: Buprenorphine,MAT Locations,MAT Locations
32,Dr. Kenneth Moon D.O.,Highland Park Family Physicians,1530 East Euclid Avenue ,Des Moines,IA,50313,(515) 262-0404,Treatment options: Buprenorphine,MAT Locations,MAT Locations
33,Debra Poole NP,NA,430 Southgate Avenue ,Iowa City,IA,52240,319-351-4357,Treatment options: Buprenorphine,MAT Locations,MAT Locations
34,Dr. Michael Simison M.D.,Corridor Health Care,204 Glenn Street SE ,Mount Vernon,IA,52314,(319) 895-8442,Treatment options: Buprenorphine,MAT Locations,MAT Locations
35,Lauren Hughes NP,NA,1039 Arthur Street ,Iowa City,IA,52240,319-338-7884,Treatment options: Buprenorphine,MAT Locations,MAT Locations
36,Dr. Dennis Weis M.D.,Powell CDC,700 East University Avenue ,Des Moines,IA,50316,(515) 263-2424,Treatment options: Buprenorphine,MAT Locations,MAT Locations
37,Sara Lockner NP,Powell CDC Iowa Lutheran Hospital,700 East University Avenue ,Des Moines,IA,50316,515-263-2424,Treatment options: Buprenorphine,MAT Locations,MAT Locations
38,Dr. Richard Hauser M.D.,Psychiatric Associates,673 Westbury Drive ,Iowa City,IA,52245,(319) 356-6352,Treatment options: Buprenorphine,MAT Locations,MAT Locations
39,Dr. Jolene Smith D.O.,Medical Center Anesthesiologists,411 Laurel Street ,Des Moines,IA,50314,515-283-0463,Treatment options: ,MAT Locations,MAT Locations
40,Daniel Moyse,Pain Specialists of Iowa,411 Laurel Street  ,Des Moines,IA,50314,(515)283-0463,Treatment options: Buprenorphine,MAT Locations,MAT Locations
41,Dr. Ahmar Butt M.D.,Broadlawns Medical Center,1801 Hickman Road ,Des Moines,IA,50314,(814) 720-5669,Treatment options: Buprenorphine,MAT Locations,MAT Locations
42,NA,"Center for Behavioral Health, Iowa Inc.",1200 University ,Des Moines,IA,50314,(515)244-9500,Treatment options: Methadone,MAT Locations,MAT Locations
43,Dr. Christopher Covert D.O.,"Primary Health Care, Inc.",1200 University ,Des Moines,IA,50314,(515) 244-9500,Treatment options: Buprenorphine,MAT Locations,MAT Locations
44,Quentin Chambers NP,Alpha Allied Mental Health Services,699 Walnut Street ,Des Moines,IA,50309,(217)257-0740,Treatment options: Buprenorphine,MAT Locations,MAT Locations
45,Jennifer Blume NP,"Iowa Lutheran Hospital, Powell Chemical Dependency",700 E. University ,Des Moines,IA,50315,515-263-2424,Treatment options: Buprenorphine,MAT Locations,MAT Locations
46,Dr. Christopher Covert D.O,Covert Action,1223 Center St. ,Des Moines,IA,50309,(515)-218-6125,"Treatment options: Buprenorphine, Methadone",MAT Locations,MAT Locations
47,Dr. David Berg D.O.,VA Central Iowa Health System,3600 30th Street ,Des Moines,IA,50310,(515) 250-4634,Treatment options: Buprenorphine,MAT Locations,MAT Locations
48,Roseanne Hixenbaugh NP,VA Central Iowa Health System,3600 30th St. ,Des Moines,IA,50310,(515) 745-8223,Treatment options: Buprenorphine,MAT Locations,MAT Locations
49,Dr. Lori Suvalsky M.D.,VA Central Iowa Health System,3600 30th St. ,Des Moines,IA,50310,(515) 699-5773,Treatment options: Buprenorphine,MAT Locations,MAT Locations
50,Kathleen Fitzgerald NP,St. Gregory Retreat Center,5875 Fleur Dr ,Des Moines,IA,50312,(515) 971-5206,Treatment options: Buprenorphine,MAT Locations,MAT Locations
51,Dr. Thomas Benzoni MD,NA,6136 Oakwood Drive ,Urbandale,IA,50322,515-441-5492,Treatment options: Buprenorphine,MAT Locations,MAT Locations
52,Dr. Frank Filippelli D.O.,UCS Healthcare,4908 Franklin Avenue ,Des Moines,IA,50310,(515) 280-3860,"Treatment options: Buprenorphine, Methadone",MAT Locations,MAT Locations
53,Dr. David Huante M.D.,UCS Healthcare,4908 Franklin Avenue ,Des Moines,IA,50310,(515) 280-3860,Treatment options: Buprenorphine,MAT Locations,MAT Locations
54,Constance Morrison NP,Constance Morrison,318 5th Street  ,West Des Moines,IA,50265,(855)270-3625,Treatment options: Buprenorphine,MAT Locations,MAT Locations
55,Dr. Jonathan Hood M.D.,Washington County Hospital and Clinics,400 E Polk St ,Washington,IA,52353,(319) 653-6601,Treatment options: Buprenorphine,MAT Locations,MAT Locations
56,Dr. Charles Wadle D.O.,Broadlawns Medical Center,1801 Hickman Road ,Des Moines,IA,50322,(515) 282-6610,Treatment options: Buprenorphine,MAT Locations,MAT Locations
57,Dr. Alan Bollinger D.O.,Central States Pain Clinic,1300 37th Street ,West Des Moines,IA,50266,(515) 267-1819,Treatment options: Buprenorphine,MAT Locations,MAT Locations
58,Kirsten Pancione NP,NA,1501 42nd Street ,West Des Moine,IA,50266,855-270-3625,Treatment options: Buprenorphine,MAT Locations,MAT Locations
59,Dr. Rienera Sivesind M.D.,Boone County Family Medicine North,120 South Story Street ,Boone,IA,50036,(515)432-4444,Treatment options: ,MAT Locations,MAT Locations
60,Kimberly Cafaro NP,NA,6000 University Ave ,West Des Moines,IA,50266,515-241-2323,Treatment options: Buprenorphine,MAT Locations,MAT Locations
61,Dr. Charity Baker D.O.,West Fork Family Medicine,705 Elm Street ,Rockwell,IA,50469,(641) 372-0315,Treatment options: Buprenorphine,MAT Locations,MAT Locations
62,Dr. Joshua Baker D.O.,West Fork Family Medicine,705 Elm Street East ,Rockwell,IA,50469,(641) 372-0315,Treatment options: Buprenorphine,MAT Locations,MAT Locations
63,Dr. Michael McLoughlin MD,NA,215 13th Ave SW ,Clarion,IA,50525,515-532-2836,Treatment options: Buprenorphine,MAT Locations,MAT Locations
64,Lisa Kies M.D.,Eagle Family Health,903 W. Congress  ,Nora Springs,IA,50458,(641) 749-5576,Treatment options: Buprenorphine,MAT Locations,MAT Locations
65,Dr. Richard Hauser M.D.,Private practice,2310 26th St SW ,Mason City,IA,50401,(319) 321-0780,Treatment options: Buprenorphine,MAT Locations,MAT Locations
66,Debra Groath NP,Mercy Medical Center North Iowa,1000 4th Street ,Mason City,IA,50401,(641) 428-7978,Treatment options: Buprenorphine,MAT Locations,MAT Locations
67,Mary Dawson NP,Prairie Ridge Integrated Behavioral Healthcare,320 N. Eisenhower Avenue ,Mason City,IA,50401,(641) 424-2391,Treatment options: Buprenorphine,MAT Locations,MAT Locations
68,Sherry Doney NP,Prairie Ridge Integrated Behavioral Healthcare,320 N. Eisenhower Avenue ,Mason City,IA,50401,(641) 424-2391,Treatment options: Buprenorphine,MAT Locations,MAT Locations
69,Dr. Rogerio Ramos M.D.,Prairie Ridge Integrated Behavioral Healthcare,320 North Eisenhower Avenue ,Mason City,IA,50402,(641) 424-2391,Treatment options: Buprenorphine,MAT Locations,MAT Locations
70,Quentin Chambers NP,NA,320 N Eisenhower Ave ,Mason City,IA,50401,641-424-2391,Treatment options: Buprenorphine,MAT Locations,MAT Locations
71,Debra Groath NP,NA,320 N Eisenhower ,Mason City,IA,50401,641-424-2391,Treatment options: Buprenorphine,MAT Locations,MAT Locations
72,Angela McGregor NP,NA,126 N 10th Street ,Fort Dodge,IA,50501,515-576-6500,Treatment options: Buprenorphine,MAT Locations,MAT Locations
73,Amber Kemp NP,Medical Associates: Dubuque,1000 Langworthy St ,Dubuque,IA,52001,(563) 584-3430,Treatment options: Buprenorphine,MAT Locations,MAT Locations
74,Dr. Adib Kassas M.D.,Mercy Dubuque,200 Mercy Drive ,Dubuque,IA,52001,(563) 584-3500,Treatment options: Buprenorphine,MAT Locations,MAT Locations
75,Dr. Thomas Boxleiter M.D.,Mercy Medical Center-Dubuque,200 Mercy Drive ,Dubuque,IA,52001,(563) 584-3500,Treatment options: Buprenorphine,MAT Locations,MAT Locations
76,Dr. Nicole Barbee MD,NA,120 2nd Avenue SE ,Waukon,IA,52172,563-568-3000,Treatment options: Buprenorphine,MAT Locations,MAT Locations
77,Dr. Roshan Dasari M.D.,Community Health Center of Southern Iowa,302 NE 14th Street ,Leon,IA,50144,(641) 856-6471,Treatment options: Buprenorphine,MAT Locations,MAT Locations
78,NA,Center for Alcohol and Drug Services,1523 S. Fairmont St. ,Davenport,IA,52802,(563)322-2667,"Treatment options: Buprenorphine, Methadone",MAT Locations,MAT Locations
79,NA,"Center for Behavioral Health Iowa, Inc.",3811 North Harrison Street ,Davenport,IA,52806,(563) 388-8000,Treatment options: Methadone,MAT Locations,MAT Locations
80,Dr. Joseph Bertroche D.O.,Trinity Enrichment Center,4622 Progress Drive ,Davenport,IA,52807,(563) 742-5800,Treatment options: Buprenorphine,MAT Locations,MAT Locations
81,Dr. John Dooley M.D.,Pain Centers of Iowa,5515 Utica Ridge Road ,Davenport,IA,52807,(563) 344-1050,Treatment options: Buprenorphine,MAT Locations,MAT Locations
82,Tina Budreau NP,NA,24600 220Th Avenue ,Eldridge,IA,52748,563-381-7707,Treatment options: Buprenorphine,MAT Locations,MAT Locations
83,Dr. Mark Easter D.O.,Community Health Center of Southern Iowa,802 East Ackerley ,Lamoni,IA,50140,(641) 784-3371,Treatment options: Buprenorphine,MAT Locations,MAT Locations
84,Dr. Patrick Courtney MD,NA,405 South Clark Street ,Carroll,IA,51401,712-792-2222,Treatment options: Buprenorphine,MAT Locations,MAT Locations
85,Dr. Oduah Osaro M.D.,Clinton Urgent Care,108 South 4th Street ,Clinton,IA,52732,(563) 241-1239,Treatment options: Buprenorphine,MAT Locations,MAT Locations
86,Rae McDivitt NP,Audubon County Memorial Hospital and Clinics,515 Pacific Avenue ,Audubon,IA,50025,712-563-2611,Treatment options: Buprenorphine,MAT Locations,MAT Locations
87,Delmas Abbott NP,Manning Regional Healthcare Center,1550 6th Street ,Manning,IA,51455,712-655-2072,Treatment options: Buprenorphine,MAT Locations,MAT Locations
88,Dr. Gregory Keller MD,NA,2000 N 16th street ,clarinda,IA,51632,712-542-5634,Treatment options: Buprenorphine,MAT Locations,MAT Locations
89,Dr. Andrew Huff M.D.,Bluff Pain Management,201 Ridge Street ,Council Bluffs,IA,51503,(712) 396-4359,Treatment options: Buprenorphine,MAT Locations,MAT Locations
90,NA,Heartland Family Service,705 N. 16th Street ,Council Bluffs,IA,51501,(712)325-5640,"Treatment options: Buprenorphine, Methadone",MAT Locations,MAT Locations
91,Dr. Amy Badberg M.D.,Sanford Sheldon Clinic,800 Oak Street ,Sheldon,IA,51201,(712) 324-5356,Treatment options: Buprenorphine,MAT Locations,MAT Locations
92,Dr. Amy Badberg MD,NA,801 Oak Street ,Sheldon,IA,51201,712-324-5356,Treatment options: Buprenorphine,MAT Locations,MAT Locations
93,Dr. Cynthia Wolff M.D.,Floyd Valley Hospital,714 LINCOLN ST. NE ,LeMars,IA,51031,(712)546-3665,Treatment options: Buprenorphine,MAT Locations,MAT Locations
94,Dr. David Wolff M.D.,Floyd Valley Hospital,715 LINCOLN ST. NE ,LeMars,IA,51031,(712)546-3665,Treatment options: Buprenorphine,MAT Locations,MAT Locations
95,NA,"Center for Behavioral Health Iowa, Inc.",2520 Glenn Avenue ,Sioux City,IA,51106,(712) 522-4442,Treatment options: Methadone,MAT Locations,MAT Locations
96,Dr. Nesrin Abu Ata M.D.,Siouxland Mental Health,625 Court Street ,Sioux City,IA,51102,(712) 252-3871,Treatment options: Buprenorphine,MAT Locations,MAT Locations
97,Andrea Harris NP,NA,800 5th Street ,Sioux City,IA,51101,712-234-2300,Treatment options: Buprenorphine,MAT Locations,MAT Locations
98,Dr. David Paulsrud M.D.,Jackson Recovery Centers,800 5th Street ,Sioux City,IA,51101,(712) 234-2350,Treatment options: Buprenorphine,MAT Locations,MAT Locations
99,Shawn Salmen NP,Jackson Recovery Centers,800 - 5th Street ,Sioux City,IA,51102,(712)234-2370,Treatment options: ,MAT Locations,MAT Locations
100,Rachel Wurth NP,Jackson Recovery Centers,800 5th Street ,Sioux City,IA,51101,(712)234-2353,Treatment options: Buprenorphine,MAT Locations,MAT Locations
101,Dr. Steven Gordon M.D.,Siouxland Community Health Center,1021 Nebraska Street ,Sioux City,IA,51101,(712) 252-2477,Treatment options: Buprenorphine,MAT Locations,MAT Locations
102,Jamie Wright NP,Siouxland Community Health Center,1021 Nebraska Street ,Sioux City,IA,51105,(712)252-2477,Treatment options: Buprenorphine,MAT Locations,MAT Locations
103,Dr. Michael Piplani MD,NA,1021 Nebraska Street ,Sioux,IA,51105,712-252-2477,Treatment options: Buprenorphine,MAT Locations,MAT Locations
104,Dr. Thor Swanson M.D.,Siouxland Community Health Center,1021 Nebraska Street ,Sioux City,IA,51104,(712) 252-2477,Treatment options: Buprenorphine,MAT Locations,MAT Locations
105,PAUL NILES PA,Akron Mercy Medical Clinic,321 Mill Street ,AKRON,IA,51001,(712)568-2411,Treatment options: Buprenorphine,MAT Locations,MAT Locations
106,Dr. Cynthia Wolff M.D.,Akron Mercy Medical Clinic,321 Mill Street ,Akron,IA,51001,(712)568-2411,Treatment options: Buprenorphine,MAT Locations,MAT Locations
